 count,0,10,15,30,55,75,80,90
1,-0.03,9.93,14.92,29.88,54.91,74.87,79.83,89.79,
2,-0.01,9.98,14.96,29.92,54.95,74.91,79.89,89.84,
3,0.0,9.98,14.96,29.93,54.96,74.92,79.88,89.86,
4,0.01,10.02,14.99,29.96,54.99,74.94,79.9,89.84,
5,0.04,10.01,15.0,29.96,54.99,74.95,79.91,89.87,
6,0.02,10.02,15.0,29.95,55.0,74.94,79.93,89.89,
7,0.03,10.02,15.0,29.95,55.0,74.97,79.92,89.89,
8,0.04,10.05,15.0,29.97,55.0,74.95,79.93,89.89,
9,0.04,10.02,15.0,29.98,55.02,74.96,79.94,89.89,
10,0.03,10.03,15.0,29.98,55.0,74.96,79.94,89.87,
11,0.04,10.05,15.0,30.01,55.0,74.96,79.93,89.89,
12,0.03,10.05,15.02,29.97,55.0,74.96,79.94,89.9,
13,0.04,10.02,15.01,29.96,55.0,74.97,79.94,89.91,
14,0.02,10.02,15.0,29.98,55.0,74.95,79.92,89.87,
15,0.05,10.03,15.02,29.98,55.0,74.95,79.93,89.87,
16,0.04,10.03,15.0,29.98,55.02,74.95,79.92,89.88,
17,0.05,10.02,15.0,29.96,55.0,74.94,79.94,89.89,
18,0.04,10.02,15.03,29.99,55.0,74.95,79.94,89.89,
19,0.06,10.05,15.02,29.98,55.0,74.97,79.93,89.87,
20,0.05,10.04,15.02,29.98,55.0,74.97,79.94,89.9,
21,0.07,10.02,15.0,29.98,55.0,74.98,79.93,89.89,
22,0.05,10.05,15.02,29.99,55.02,74.96,79.93,89.9,
23,0.03,10.06,15.0,29.99,55.02,74.95,79.94,89.87,
24,0.06,10.03,15.02,29.98,55.0,74.96,79.94,89.9,
25,0.03,10.06,15.0,29.97,55.0,74.95,79.95,89.87,
26,0.05,10.06,15.03,30.0,55.02,74.97,79.95,89.89,
27,0.07,10.05,15.02,29.98,55.02,74.96,79.94,89.89,
28,0.05,10.03,15.0,29.97,55.02,74.96,79.95,89.89,
29,0.06,10.04,15.02,30.01,55.02,74.97,79.95,89.9,
30,0.05,10.03,15.02,29.99,55.02,74.98,79.95,89.89,
31,0.03,10.05,15.0,29.98,55.02,74.96,79.95,89.89,
32,0.05,10.05,15.02,29.99,55.02,74.96,79.95,89.89,
33,0.06,10.02,15.02,29.97,55.02,74.98,79.94,89.88,
34,0.06,10.03,15.01,29.98,55.02,74.95,79.94,89.89,
35,0.05,10.02,15.02,29.99,55.03,74.95,79.95,89.89,
36,0.06,10.05,15.02,29.99,55.02,74.97,79.94,89.89,
37,0.04,10.03,15.0,29.99,55.02,74.95,79.95,89.9,
38,0.05,10.03,15.02,29.98,55.02,74.96,79.94,89.91,
39,0.04,10.05,15.02,29.99,55.02,74.96,79.94,89.9,
40,0.05,10.05,15.02,30.0,55.02,74.96,79.95,89.91,
41,0.05,10.06,15.02,29.98,55.0,74.96,79.94,89.9,
42,0.05,10.05,15.02,29.99,55.02,74.98,79.95,89.9,
43,0.07,10.02,15.03,29.99,55.02,74.95,79.95,89.9,
44,0.07,10.05,15.02,29.99,55.02,74.97,79.95,89.89,
45,0.04,10.04,15.02,29.98,55.02,74.96,79.95,89.9,
46,0.04,10.03,15.0,29.98,55.02,74.98,79.95,89.89,
47,0.04,10.03,15.02,29.99,55.02,74.95,79.95,89.89,
48,0.06,10.02,15.02,29.98,55.0,74.97,79.97,89.89,
49,0.05,10.05,15.02,29.97,55.02,74.96,79.94,89.89,
50,0.05,10.04,15.02,29.98,55.02,74.96,79.95,89.9,
51,0.05,10.03,15.02,29.98,55.02,74.97,79.95,89.9,
52,0.04,10.02,15.0,29.97,55.02,74.96,79.94,89.9,
53,0.05,10.05,15.02,29.97,55.02,74.96,79.95,89.89,
54,0.05,10.06,15.02,29.97,55.02,74.96,79.94,89.9,
55,0.05,10.06,15.0,29.97,55.02,74.96,79.95,89.9,
56,0.06,10.05,15.03,29.99,55.02,74.95,79.93,89.9,
57,0.06,10.03,15.03,30.0,55.02,74.96,79.94,89.92,
58,0.05,10.03,15.0,29.98,55.02,74.97,79.95,89.87,
59,0.05,10.03,15.0,29.99,55.02,74.94,79.95,89.9,
60,0.06,10.06,15.02,29.97,55.02,74.96,79.95,89.9,
61,0.04,10.05,15.02,29.97,55.0,74.95,79.95,89.91,
62,0.04,10.05,15.02,29.97,55.02,74.95,79.94,89.9,
63,0.04,10.05,15.02,29.97,55.03,74.95,79.95,89.9,
64,0.07,10.06,15.02,29.99,55.04,74.97,79.96,89.92,
65,0.06,10.05,15.02,30.0,55.03,74.95,79.95,89.9,
66,0.05,10.05,15.0,29.98,55.02,74.96,79.95,89.91,
67,0.06,10.06,15.02,30.0,55.02,74.97,79.95,89.92,
68,0.04,10.06,15.02,29.99,55.03,74.99,79.94,89.92,
69,0.06,10.05,15.02,29.98,55.03,74.96,79.95,89.91,
70,0.04,10.06,15.0,29.98,55.03,74.94,79.95,89.92,
71,0.05,10.07,15.02,30.0,55.02,74.98,79.95,89.91,
72,0.05,10.05,15.03,30.0,55.02,74.96,79.95,89.9,
73,0.06,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
74,0.06,10.06,15.02,29.97,55.03,74.97,79.95,89.9,
75,0.06,10.06,15.01,29.98,55.03,74.97,79.95,89.89,
76,0.05,10.05,15.0,29.97,55.02,74.96,79.94,89.9,
77,0.05,10.06,15.02,29.99,55.02,74.97,79.95,89.91,
78,0.05,10.07,15.03,29.98,55.02,74.96,79.94,89.9,
79,0.05,10.05,15.02,29.99,55.03,74.96,79.95,89.89,
80,0.04,10.03,15.02,29.99,55.02,74.95,79.95,89.87,
81,0.05,10.03,15.02,29.98,55.03,74.96,79.95,89.89,
82,0.05,10.05,15.02,29.99,55.02,74.98,79.94,89.89,
83,0.06,10.05,15.0,29.99,55.02,74.96,79.94,89.87,
84,0.04,10.06,15.0,29.99,55.03,74.99,79.95,89.9,
85,0.06,10.07,15.02,30.0,55.03,74.99,79.97,89.9,
86,0.05,10.06,15.03,30.0,55.02,74.97,79.95,89.91,
87,0.05,10.06,15.02,29.97,55.02,74.97,79.95,89.9,
88,0.05,10.03,15.02,29.99,55.02,74.98,79.95,89.89,
89,0.06,10.06,15.0,29.99,55.02,74.97,79.95,89.9,
90,0.06,10.05,15.02,29.99,55.02,74.96,79.95,89.91,
91,0.06,10.05,15.02,30.0,55.02,74.95,79.95,89.89,
92,0.06,10.07,15.02,30.0,55.03,74.97,79.95,89.89,
93,0.04,10.06,15.03,29.99,55.02,74.95,79.95,89.9,
94,0.07,10.05,15.02,30.0,55.06,74.99,79.95,89.9,
95,0.06,10.06,15.02,29.97,55.02,74.97,79.95,89.9,
96,0.06,10.06,15.03,29.97,55.02,74.96,79.95,89.91,
97,0.05,10.05,15.0,29.97,55.02,74.97,79.93,89.89,
98,0.05,10.06,15.0,30.0,55.04,74.96,79.95,89.9,
99,0.05,10.05,15.02,30.0,55.02,74.97,79.95,89.92,
100,0.05,10.07,15.0,29.99,55.03,74.97,79.95,89.89,
101,0.05,10.05,15.02,29.99,55.02,74.97,79.96,89.89,
102,0.06,10.02,15.02,30.0,55.06,74.96,79.94,89.88,
103,0.06,10.06,15.02,30.0,55.02,74.99,79.97,89.89,
104,0.05,10.07,15.02,30.01,55.04,74.99,79.97,89.9,
105,0.06,10.03,15.02,30.0,55.04,74.98,79.95,89.91,
106,0.05,10.06,15.02,30.02,55.06,74.97,79.96,89.9,
107,0.05,10.03,15.02,30.0,55.03,74.97,79.98,89.9,
108,0.06,10.05,15.03,30.0,55.03,74.97,79.95,89.9,
109,0.07,10.07,15.0,30.0,55.04,74.98,79.95,89.9,
110,0.05,10.06,15.02,29.99,55.03,74.97,79.96,89.9,
111,0.06,10.06,15.02,30.0,55.02,74.98,79.97,89.92,
112,0.07,10.05,15.02,29.98,55.06,74.99,79.95,89.9,
113,0.07,10.06,15.03,29.98,55.03,74.99,79.97,89.91,
114,0.07,10.05,15.02,30.0,55.03,74.99,79.95,89.92,
115,0.06,10.06,15.02,30.0,55.04,74.98,79.95,89.92,
116,0.04,10.03,15.03,30.01,55.02,74.98,79.95,89.92,
117,0.06,10.05,15.02,30.01,55.02,74.98,79.95,89.9,
118,0.05,10.05,15.0,30.0,55.06,74.98,79.94,89.9,
119,0.07,10.07,15.03,30.0,55.04,74.98,79.95,89.89,
120,0.06,10.05,15.02,30.01,55.07,75.0,79.97,89.92,
121,0.05,10.06,15.03,30.0,55.02,74.95,79.94,89.9,
122,0.05,10.06,15.02,30.0,55.02,74.97,79.95,89.91,
123,0.06,10.03,15.02,29.99,55.02,74.97,79.94,89.89,
124,0.05,10.05,15.02,30.01,55.03,74.97,79.95,89.9,
